fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
2,drs range,16,227,6.296257195015598e-28,True,0.0704845814977973
2,zone,21,227,3.204562643998969e-27,True,0.092511013215859
2,range,16,227,4.6788052232936117e-26,True,0.0704845814977973
2,zones,14,227,2.7818263733757463e-24,True,0.0616740088105726
2,drs zones,13,227,4.621406194565824e-24,True,0.0572687224669603
2,dunk,8,227,9.475500575370232e-16,True,0.0352422907488986
2,slam,8,227,9.475500575370232e-16,True,0.0352422907488986
2,slam dunk,8,227,9.475500575370232e-16,True,0.0352422907488986
2,drs train,7,227,5.74611583073315e-13,True,0.0308370044052863
2,defend,10,227,9.471891042227375e-11,True,0.0440528634361233
2,drs try,5,227,4.2148243422388943e-10,True,0.0220264317180616
2,inside drs,5,227,4.2148243422388943e-10,True,0.0220264317180616
2,train,7,227,1.4826613341029272e-08,True,0.0308370044052863
2,drs just,4,227,3.1889020763342884e-08,True,0.0176211453744493
2,just drs,4,227,3.1889020763342884e-08,True,0.0176211453744493
2,stay drs,4,227,3.1889020763342884e-08,True,0.0176211453744493
2,drs ahead,4,227,1.577591740798189e-07,True,0.0176211453744493
2,outside drs,4,227,1.577591740798189e-07,True,0.0176211453744493
2,open,8,227,3.127320822854713e-07,True,0.0352422907488986
2,zone racetrack,4,227,4.682751945309913e-07,True,0.0176211453744493
2,got,34,227,1.032467007645615e-06,True,0.1497797356828193
2,drs open,4,227,1.0810979796466602e-06,True,0.0176211453744493
2,drs long,3,227,2.4020689613387698e-06,True,0.013215859030837
2,drs time,3,227,2.4020689613387698e-06,True,0.013215859030837
2,drs ve,3,227,2.4020689613387698e-06,True,0.013215859030837
2,right drs,3,227,2.4020689613387698e-06,True,0.013215859030837
2,slipstream drs,3,227,2.4020689613387698e-06,True,0.013215859030837
2,straight drs,3,227,2.4020689613387698e-06,True,0.013215859030837
2,time drs,3,227,2.4020689613387698e-06,True,0.013215859030837
2,turn drs,3,227,2.4020689613387698e-06,True,0.013215859030837
2,straight,13,227,6.425626405416067e-06,True,0.0572687224669603
2,getting drs,3,227,9.51260878306505e-06,True,0.013215859030837
2,clinical,3,227,2.354488319654289e-05,True,0.013215859030837
2,neutralise,3,227,2.354488319654289e-05,True,0.013215859030837
2,benefit,4,227,2.87073404910783e-05,True,0.0176211453744493
2,powerful,3,227,4.6621491198554805e-05,True,0.013215859030837
2,line speed,5,227,8.528822579612819e-05,True,0.0220264317180616
2,pass,9,227,0.0001452942622152,True,0.039647577092511
2,chance,9,227,0.000197782072318,True,0.039647577092511
2,quite,9,227,0.0002078999086787,True,0.039647577092511
3,grand,800,1046,0.0,True,0.7648183556405354
3,grand prix,798,1046,0.0,True,0.762906309751434
3,prix,803,1046,0.0,True,0.7676864244741873
3,formula,231,1046,4.876717026136358e-260,True,0.2208413001912046
3,prix year,33,1046,8.644072991325865e-41,True,0.031548757170172
3,winner,53,1046,3.89767088034868e-36,True,0.0506692160611854
3,lap grand,31,1046,1.115637599979296e-35,True,0.0296367112810707
3,prix far,28,1046,1.0832681229315138e-34,True,0.0267686424474187
3,prix victory,29,1046,1.849030308782263e-34,True,0.0277246653919694
3,australian,26,1046,2.9589364868012787e-32,True,0.0248565965583174
3,australian grand,26,1046,2.9589364868012787e-32,True,0.0248565965583174
3,prix winner,25,1046,4.883549337814727e-31,True,0.0239005736137667
3,time grand,25,1046,4.883549337814727e-31,True,0.0239005736137667
3,win grand,25,1046,4.883549337814727e-31,True,0.0239005736137667
