cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
17,miles,0,5,17,67,0.149,2.531498146991089e-07,8.111660989246374e-05,True
17,miles hour,1,5,9,67,0.079,5.441924090712818e-09,2.2841476656277546e-06,True
17,pace,0,6,69,67,0.605,2.8017009444397717e-05,0.0056540132607791,True
17,second,0,15,566,67,4.959,8.497236478913321e-05,0.015504624161857173,True
17,second gap,1,2,3,67,0.026,0.00022560355621493132,0.03532645149140979,True
17,seconds,0,34,143,67,1.253,2.3530377503150902e-42,5.520226562239201e-39,True
17,tenths,0,8,28,67,0.245,6.112632399127658e-11,3.251227506347349e-08,True
17,tenths quicker,1,2,3,67,0.026,0.00022560355621493132,0.03532645149140979,True
17,tenths second,1,6,19,67,0.166,8.934550610093985e-09,3.645296648918346e-06,True
18,ahead,0,56,417,600,32.719,3.830506858175194e-05,0.0075222222570945334,True
18,ahead teammate,1,8,12,600,0.942,5.120275120071924e-07,0.00015393163939921486,True
18,past,0,48,369,600,28.953,0.00029912180221696057,0.045854639309282866,True
18,team,0,38,101,600,7.925,2.6767404696535287e-17,2.529924143461885e-14,True
18,teammate,0,65,175,600,13.731,1.5131522709054223e-28,2.3387281499114207e-25,True
19,holds,0,6,22,115,0.331,6.222174982850967e-07,0.00018388046130354924,True
19,holds lead,1,5,10,115,0.15,1.6731819428642377e-07,5.579085048876449e-05,True
19,lead,0,68,325,115,4.888,3.497820913392372e-65,1.3129420580509607e-61,True
19,lead comes,1,4,5,115,0.075,2.399773367896337e-07,7.765335615289388e-05,True
19,lead second,1,4,4,115,0.06,4.8559656484688534e-08,1.7770399527388414e-05,True
19,leads,0,39,98,115,1.474,1.116327926919348e-47,2.820359571672236e-44,True
19,leads comes,1,4,7,115,0.105,1.6410558113628795e-06,0.0004577395929376001,True
19,leads inside,1,3,3,115,0.045,3.3141965550799915e-06,0.0008725568870144067,True
19,leads leads,1,3,4,115,0.06,1.3111107250865905e-05,0.0029379841207460397,True
19,leads second,1,5,8,115,0.12,3.808936655915772e-08,1.409585527063635e-05,True
19,maintain lead,1,3,7,115,0.105,0.00011098626686761672,0.01946719865954608,True
19,maintains,0,5,16,115,0.241,2.69796554611091e-06,0.00072632770816776,True
19,maintains lead,1,5,9,115,0.135,8.467380833771856e-08,2.9823341137201375e-05,True
19,takes lead,1,6,36,115,0.541,1.3681249770340612e-05,0.00296598658387503,True
20,bit contact,1,4,4,61,0.032,3.665536417247977e-09,1.5635178972479553e-06,True
20,contact,0,12,150,61,1.197,1.5909618660650217e-09,7.013899534099272e-07,True
20,damage,0,16,53,61,0.423,3.8073401530934547e-22,4.506244323899151e-19,True
20,damage wing,1,4,4,61,0.032,3.665536417247977e-09,1.5635178972479553e-06,True
20,damaged,0,9,12,61,0.096,1.5272015052915582e-17,1.4752766541116453e-14,True
20,damaged wing,1,4,4,61,0.032,3.665536417247977e-09,1.5635178972479553e-06,True
20,endplate,0,3,4,61,0.032,1.9213730716753963e-06,0.0005280801436494286,True
20,got puncture,1,5,8,61,0.064,1.5029913659975389e-09,6.67925866386923e-07,True
20,puncture,0,14,23,61,0.183,6.590519124041369e-25,8.57263406376296e-22,True
20,rear,0,8,85,61,0.678,3.043959014228055e-07,9.598478440166552e-05,True
20,rear wing,1,4,16,61,0.128,6.209363216972985e-06,0.001464562481136522,True
20,ripped,0,3,4,61,0.032,1.9213730716753963e-06,0.0005280801436494286,True
20,think,0,11,210,61,1.675,6.463637766053763e-07,0.00019039616034822402,True
20,wing,0,36,61,61,0.487,4.513681672100567e-65,1.6471928982052338e-61,True
20,wing damage,1,2,3,61,0.024,0.00018682575851573964,0.030527886630303248,True
20,wing endplate,1,3,3,61,0.024,4.830924202317852e-07,0.00014590057425372646,True
21,brake,0,13,25,128,0.418,1.9127683957440657e-17,1.8209555127483504e-14,True
21,brake pedal,1,5,5,128,0.084,1.2157058941376168e-09,5.488473455265415e-07,True
21,brakes,0,39,105,128,1.758,4.1009222477308534e-44,1.0165335117318653e-40,True
21,brakes just,1,3,3,128,0.05,4.582277245041565e-06,0.0011552888882317724,True
21,brakes late,1,3,5,128,0.084,4.470607795809169e-05,0.0086883220381986,True
21,braking,0,51,84,128,1.406,4.856621907715218e-73,2.2787269990999805e-69,True
21,braking zone,1,20,33,128,0.552,3.0663351819132973e-28,4.526324166955521e-25,True
21,curb,0,5,23,128,0.385,3.209932128041182e-05,0.006408936827561372,True
21,late,0,18,112,128,1.875,2.399564887408324e-13,1.6948668636997637e-10,True
21,late brakes,1,5,27,128,0.452,7.298498316149794e-05,0.01352394238057116,True
21,late braking,1,7,11,128,0.184,9.750164747136618e-11,4.945705188493515e-08,True
21,lock,0,8,56,128,0.937,3.58259840595825e-06,0.0009211240450960139,True
21,outside brakes,1,3,4,128,0.067,1.81043112346285e-05,0.003793416256396418,True
21,pedal,0,5,6,128,0.1,7.19639983421923e-09,2.954481951938705e-06,True
21,rear,0,8,85,128,1.423,8.088300563675161e-05,0.014882473037162298,True
21,super late,1,3,6,128,0.1,8.831714845889272e-05,0.015981754402115002,True
21,way traffic,1,3,3,128,0.05,4.582277245041565e-06,0.0011552888882317724,True
21,zone,0,20,51,128,0.854,3.2469929950827703e-23,4.062637635447562e-20,True
21,zone turn,1,3,6,128,0.1,8.831714845889272e-05,0.015981754402115002,True
22,goes wheel,1,3,4,71,0.037,3.04828324288135e-06,0.0008041591552545788,True
22,going wheel,1,16,27,71,0.251,6.0203180736431184e-27,8.089149423643866e-24,True
22,went,0,7,100,71,0.928,3.550479713629857e-05,0.007014252975305805,True
22,went wheel,1,3,4,71,0.037,3.04828324288135e-06,0.0008041591552545788,True
22,wheel,0,64,138,71,1.281,9.688405375126475e-111,7.487199673897739e-107,True
22,wheel action,1,3,4,71,0.037,3.04828324288135e-06,0.0008041591552545788,True
22,wheel gets,1,3,4,71,0.037,3.04828324288135e-06,0.0008041591552545788,True
22,wheel goes,1,3,3,71,0.028,7.671894214600634e-07,0.00022447723259184251,True
22,wheel turn,1,6,8,71,0.074,1.4257399817716707e-11,8.179389338219869e-09,True
