cell,cache,mcs,cluster,n_viable_runs,n_pass,pass_rate_viable,n_reconstructed,reconstruction_rate_all_runs,median_rep_strict,iqr_lo_rep_strict,iqr_hi_rep_strict,median_rep_dir,iqr_lo_rep_dir,iqr_hi_rep_dir,median_den,min_den,max_den
B30,B,30,24,43,7,0.16279069767441862,22,0.44,0.40588235294117647,0.21666666666666667,0.5,0.4660633484162896,0.26666666666666666,0.531578947368421,8.0,0,20
B30,B,30,25,43,22,0.5116279069767442,36,0.72,0.5470085470085471,0.4,0.6666666666666666,0.6125,0.5288461538461539,0.7142857142857143,8.0,0,16
B30,B,30,26,43,18,0.4186046511627907,40,0.8,0.44155844155844154,0.3333333333333333,0.5138888888888888,0.625,0.5,0.7142857142857143,8.0,0,11
B30,B,30,27,43,16,0.37209302325581395,43,1.0,0.4,0.3,0.5192307692307692,0.8,0.7,0.875,9.0,3,20
B30,B,30,28,43,12,0.27906976744186046,38,0.76,0.40454545454545454,0.2857142857142857,0.5,0.6666666666666666,0.5595238095238095,0.7708333333333334,8.0,0,25
B30,B,30,29,43,9,0.20930232558139536,19,0.38,0.47058823529411764,0.3666666666666667,0.5166666666666666,0.5555555555555556,0.4494949494949495,0.7386363636363636,0.0,0,18
B30,B,30,30,43,24,0.5581395348837209,42,0.84,0.5,0.41408668730650156,0.5928571428571429,0.6990950226244343,0.6,0.7814009661835749,15.0,0,25
B30,B,30,31,43,23,0.5348837209302325,43,0.86,0.5,0.4375,0.5454545454545454,0.6875,0.6132478632478633,0.7416666666666667,14.0,10,39
B30,B,30,32,43,2,0.046511627906976744,10,0.2,0.3333333333333333,0.2708333333333333,0.38333333333333336,0.8166666666666667,0.5208333333333334,1.0,0.0,0,12
B30,B,30,33,43,38,0.8837209302325582,41,0.82,0.625,0.5454545454545454,0.7142857142857143,0.8095238095238095,0.75,0.8928571428571429,20.0,0,39
B35,B,35,0,31,13,0.41935483870967744,31,1.0,0.4827586206896552,0.423963133640553,0.5669642857142857,0.7297297297297297,0.6671826625386997,0.7586206896551724,34.0,25,46
B35,B,35,1,31,31,1.0,31,1.0,0.8333333333333334,0.725975975975976,0.8648648648648649,0.868421052631579,0.8333333333333334,0.9302884615384616,35.0,27,39
B35,B,35,2,31,20,0.6451612903225806,29,0.84,0.5384615384615384,0.4666666666666667,0.6666666666666666,0.625,0.5333333333333333,0.6923076923076923,12.0,0,21
B35,B,35,3,31,3,0.0967741935483871,4,0.14,0.5687134502923976,0.4970095693779904,0.6302083333333334,0.6505847953216375,0.5592105263157895,0.7604166666666666,0.0,0,22
B35,B,35,4,31,5,0.16129032258064516,7,0.14,0.5454545454545454,0.4642857142857143,0.5777777777777777,0.6363636363636364,0.5692307692307692,0.6547619047619048,0.0,0,14
B35,B,35,5,31,1,0.03225806451612903,6,0.12,0.09090909090909091,0.08522727272727272,0.1893939393939394,0.09090909090909091,0.08522727272727272,0.1893939393939394,0.0,0,14
B35,B,35,6,31,9,0.2903225806451613,31,0.62,0.4642857142857143,0.43820224719101125,0.5119115144639819,0.7325581395348837,0.7039080459770115,0.7575154730327144,86.0,71,94
B35,B,35,7,31,0,0.0,0,0.0,,,,,,,0.0,0,0
B35,B,35,8,31,31,1.0,31,0.62,0.6956521739130435,0.6417378917378918,0.7886904761904762,0.8571428571428571,0.7655677655677655,0.8928571428571429,27.0,18,39
B35,B,35,9,31,19,0.6129032258064516,31,0.62,0.5185185185185185,0.4807407407407407,0.5885579937304075,0.7,0.6538461538461539,0.7505175983436853,23.0,17,31
B35,B,35,10,31,11,0.3548387096774194,25,0.54,0.375,0.25,0.6,0.4444444444444444,0.3333333333333333,0.6666666666666666,6.0,0,9
B35,B,35,11,31,5,0.16129032258064516,23,0.46,0.4090909090909091,0.36038961038961037,0.46886446886446886,0.6071428571428571,0.5454545454545454,0.6742424242424242,23.0,0,33
B35,B,35,12,31,21,0.6774193548387096,30,0.6,0.5219047619047619,0.48180076628352486,0.5803571428571429,0.7060185185185186,0.6666666666666666,0.7280769230769231,25.0,0,29
B35,B,35,13,31,15,0.4838709677419355,31,0.62,0.48484848484848486,0.38095238095238093,0.5400641025641025,0.7058823529411765,0.6228448275862069,0.7646153846153847,21.0,13,66
B35,B,35,14,31,12,0.3870967741935484,31,0.62,0.45,0.4128787878787879,0.5,0.631578947368421,0.5508333333333333,0.7041666666666666,24.0,17,30
B35,B,35,15,31,29,0.9354838709677419,31,0.62,0.532258064516129,0.5158770161290323,0.6066720473500135,0.7419354838709677,0.7108993157380255,0.7886762360446571,61.0,54,70
B35,B,35,16,31,19,0.6129032258064516,31,0.62,0.5217391304347826,0.4472222222222222,0.6274509803921569,0.6086956521739131,0.525,0.7303030303030302,16.0,8,23
B35,B,35,17,31,6,0.1935483870967742,22,0.44,0.3875,0.3141025641025641,0.48214285714285715,0.5358974358974359,0.5,0.6590909090909091,10.0,0,21
B35,B,35,18,31,17,0.5483870967741935,30,0.6,0.5,0.4,0.6,0.75,0.6,0.9722222222222222,5.0,0,27
B35,B,35,19,31,24,0.7741935483870968,28,0.56,0.5555555555555556,0.5,0.625,0.6833333333333333,0.6153846153846154,0.7833333333333333,8.0,0,13
B35,B,35,20,31,5,0.16129032258064516,19,0.38,0.4117647058823529,0.2951388888888889,0.4807692307692308,0.5384615384615384,0.46256684491978606,0.641025641025641,12.0,0,26
B35,B,35,21,31,12,0.3870967741935484,31,0.62,0.44,0.3729946524064171,0.5634920634920635,0.6818181818181818,0.5958781362007168,0.7735042735042735,18.0,9,47
B35,B,35,22,31,19,0.6129032258064516,24,0.48,0.6,0.5454545454545454,0.6818181818181818,0.6666666666666666,0.5958333333333333,0.7833333333333333,9.0,0,12
B35,B,35,23,31,12,0.3870967741935484,27,0.54,0.4,0.3333333333333333,0.55,0.5,0.3333333333333333,0.6666666666666666,5.0,0,10
B35,B,35,24,31,1,0.03225806451612903,7,0.14,0.2631578947368421,0.18823529411764706,0.38076923076923075,0.3,0.22156862745098038,0.4271255060728745,0.0,0,20
B35,B,35,25,31,11,0.3548387096774194,20,0.4,0.5,0.4,0.6354166666666666,0.5777777777777777,0.5,0.7232142857142857,7.0,0,12
B35,B,35,26,31,13,0.41935483870967744,26,0.52,0.4375,0.3409090909090909,0.5,0.6306818181818181,0.5,0.7142857142857143,7.0,0,11
B35,B,35,27,31,11,0.3548387096774194,31,1.0,0.4444444444444444,0.3205128205128205,0.5577777777777778,0.8333333333333334,0.7596153846153846,0.8844444444444444,9.0,5,25
B35,B,35,28,31,7,0.22580645161290322,24,0.48,0.41428571428571426,0.295,0.5,0.6464285714285715,0.6,0.7162698412698413,9.0,0,25
B35,B,35,29,31,2,0.06451612903225806,6,0.12,0.45555555555555555,0.3611111111111111,0.5257575757575758,0.6111111111111112,0.48888888888888893,0.7121212121212122,0.0,0,18
B35,B,35,30,31,13,0.41935483870967744,26,0.52,0.4852941176470588,0.37740384615384615,0.5371794871794872,0.6132478632478633,0.5733082706766917,0.7285714285714285,15.0,0,23
B35,B,35,31,31,18,0.5806451612903226,31,0.62,0.5,0.4330357142857143,0.5819964349376114,0.6923076923076923,0.626453488372093,0.8116554054054055,16.0,10,43
B35,B,35,32,31,1,0.03225806451612903,3,0.06,0.14285714285714285,0.07142857142857142,0.48809523809523814,1.0,0.8571428571428572,1.0,0.0,0,7
B35,B,35,33,31,24,0.7741935483870968,27,0.54,0.5882352941176471,0.5297619047619048,0.6519230769230769,0.8095238095238095,0.7350877192982456,0.8885448916408669,20.0,0,38
